Country Origin Name,Country Origin Code,Migration by Gender Name,Migration by Gender Code,Country Dest Name,Country Dest Code,1960 [1960],1970 [1970],1980 [1980],1990 [1990],2000 [2000]
India,IND,Female,FEM,Canada,CAN,3779,22178,41574,64890,145504
India,IND,Female,FEM,Australia,AUS,4650,8782,19580,29547,44315
India,IND,Female,FEM,Denmark,DNK,373,234,943,1565,2556
India,IND,Female,FEM,Finland,FIN,12,49,90,348,424
India,IND,Female,FEM,France,FRA,38575,3919,7211,10838,69004
India,IND,Female,FEM,Germany,DEU,516,2846,7126,5973,10665
India,IND,Female,FEM,Netherlands,NLD,11,282,956,3442,5177
India,IND,Female,FEM,New Zealand,NZL,2131,2609,3029,3476,10049
India,IND,Female,FEM,Singapore,SGP,10293,10981,10677,14881,47942
India,IND,Female,FEM,Sweden,SWE,160,407,1845,4809,6596
India,IND,Female,FEM,Switzerland,CHE,337,340,219,593,2925
India,IND,Female,FEM,United Kingdom,GBR,88327,154831,197399,220994,266644
India,IND,Female,FEM,United States,USA,5150,34022,102686,223537,480076
India,IND,Male,MAL,Canada,CAN,5002,23560,42824,85061,168496
India,IND,Male,MAL,Australia,AUS,8877,9383,20590,29750,49794
India,IND,Male,MAL,Denmark,DNK,239,335,997,1276,1844
India,IND,Male,MAL,Finland,FIN,10,44,90,174,712
India,IND,Male,MAL,France,FRA,42177,4155,8507,12617,67229
India,IND,Male,MAL,Germany,DEU,2863,4726,22516,15643,24822
India,IND,Male,MAL,Netherlands,NLD,10,727,1826,4568,5658
India,IND,Male,MAL,New Zealand,NZL,2558,3020,3250,3656,10618
India,IND,Male,MAL,Singapore,SGP,56217,39894,31589,28815,57245
India,IND,Male,MAL,Sweden,SWE,196,483,2593,3362,4392
India,IND,Male,MAL,Switzerland,CHE,233,332,176,869,3494
India,IND,Male,MAL,United Kingdom,GBR,102395,181736,203856,208891,258152
India,IND,Male,MAL,United States,USA,8760,35975,124998,270753,561244
India,IND,Total,TOT,Canada,CAN,8781,45737,84397,149951,313999
India,IND,Total,TOT,Australia,AUS,13527,18165,40170,59297,94110
India,IND,Total,TOT,Denmark,DNK,612,569,1940,2841,4400
India,IND,Total,TOT,Finland,FIN,22,93,181,522,1136
India,IND,Total,TOT,France,FRA,80752,8074,15718,23455,136233
India,IND,Total,TOT,Germany,DEU,3379,7573,29642,21616,35486
India,IND,Total,TOT,Netherlands,NLD,20,1009,2783,8010,10834
India,IND,Total,TOT,New Zealand,NZL,4689,5629,6279,7131,20667
India,IND,Total,TOT,Singapore,SGP,66510,50875,42266,43696,105187
India,IND,Total,TOT,Sweden,SWE,356,890,4438,8171,10988
India,IND,Total,TOT,Switzerland,CHE,570,671,396,1462,6419
India,IND,Total,TOT,United Kingdom,GBR,190722,336567,401255,429885,524796
India,IND,Total,TOT,United States,USA,13910,69997,227684,494290,1041320